"","t","crop","cover","country","annual_yield","fym","biomass_distrib","bio_mass_input","residues","cc","cc_name","tillage_cr","DR","flag","cf1","cf2","cf3"
"1",0.0833333333333333,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"2",0.166666666666667,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"3",0.25,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"4",0.333333333333333,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"5",0.416666666666667,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"6",0.5,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"7",0.583333333333333,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"8",0.666666666666667,"WINTER-WHEAT",0,"AU",5.23486842105263,0,1,0,1.14515644407895,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"9",0.75,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,0,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"10",0.833333333333333,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,0,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"11",0.916666666666667,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
"12",1,"WINTER-WHEAT",0,"AU",5.23486842105263,0,0,0,0,1,"winter",1,1.44,"Treatment",1,0.333333333333333,1
