"","t","crop","cover","country","annual_yield","fym","biomass_distrib","residues","cc","cc_name","tillage_cr","DR","flag","cf1","cf2","cf3"
"1",0.0833333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"2",0.166666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"3",0.25,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"4",0.333333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"5",0.416666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"6",0.5,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"7",0.583333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"8",0.666666666666667,"VEGETABLE",1,"US",34.554475,0,1,0.105112867818062,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"9",0.75,"VEGETABLE",1,"US",34.554475,0,0,0,0,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"10",0.833333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,0,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"11",0.916666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"12",1,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"13",1.08333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"14",1.16666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"15",1.25,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"16",1.33333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"17",1.41666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"18",1.5,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"19",1.58333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"20",1.66666666666667,"VEGETABLE",1,"US",34.554475,0,1,0.105112867818062,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"21",1.75,"VEGETABLE",1,"US",34.554475,0,0,0,0,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"22",1.83333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,0,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"23",1.91666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"24",2,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"25",2.08333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"26",2.16666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"27",2.25,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"28",2.33333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"29",2.41666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"30",2.5,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"31",2.58333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"32",2.66666666666667,"VEGETABLE",1,"US",34.554475,0,1,0.105112867818062,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"33",2.75,"VEGETABLE",1,"US",34.554475,0,0,0,0,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"34",2.83333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,0,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"35",2.91666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"36",3,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"37",3.08333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"38",3.16666666666667,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"39",3.25,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
"40",3.33333333333333,"VEGETABLE",1,"US",34.554475,0,0,0,1,"winter",1,2.4,"Treatment",1,0.333333333333333,1.66666666666667
