"","t","crop","cover","country","annual_yield","fym","biomass_distrib","residues","cc","cc_name","tillage_cr","DR","flag","cf1","cf2","cf3"
"1",0.0833333333333333,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"2",0.166666666666667,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"3",0.25,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"4",0.333333333333333,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"5",0.416666666666667,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"6",0.5,"RYE",0,"US",2.002575,0,0,0,1,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"7",0.583333333333333,"RYE",0,"US",2.002575,0,0,0,1,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"8",0.666666666666667,"RYE",0,"US",2.002575,0,1,0.508130491,1,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"9",0.75,"RYE",0,"US",2.002575,0,0,0,1,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"10",0.833333333333333,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"11",0.916666666666667,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
"12",1,"RYE",0,"US",2.002575,0,0,0,0,"none",1,2.4,"Treatment",1,1.66666666666667,1.66666666666667
